Res: 0.178965 beta: 0.500000 | gamma1: 0.194475 | gamma2: 0.045683 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737842.519899 | majorEvents: 0.951919 | schoolClosing: 0.620718 | contactRestrictions: 0.677002 | 
Res: 0.011805 beta: 0.500000 | gamma1: 0.238388 | gamma2: 0.017750 | mortality: 0.008874 | darkFigure: 10.000000 | startDate: 737836.024902 | majorEvents: 0.882307 | schoolClosing: 0.617230 | contactRestrictions: 0.851911 | 
Res: 0.860361 beta: 0.500000 | gamma1: 0.255553 | gamma2: 0.023588 | mortality: 0.009722 | darkFigure: 8.138900 | startDate: 737838.019916 | majorEvents: 1.000000 | schoolClosing: 0.682521 | contactRestrictions: 0.861358 | 
Res: 1.862588 beta: 0.500000 | gamma1: 0.224689 | gamma2: 0.026652 | mortality: 0.010000 | darkFigure: 7.311336 | startDate: 737840.259804 | majorEvents: 0.818969 | schoolClosing: 0.817059 | contactRestrictions: 0.828130 | 
Res: 0.024872 beta: 0.500000 | gamma1: 0.164051 | gamma2: 0.051078 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737842.523425 | majorEvents: 0.797427 | schoolClosing: 0.564450 | contactRestrictions: 0.739512 | 
Res: 2.013597 beta: 0.500000 | gamma1: 0.219077 | gamma2: 0.023573 | mortality: 0.009909 | darkFigure: 8.066320 | startDate: 737839.014002 | majorEvents: 0.744955 | schoolClosing: 0.783998 | contactRestrictions: 0.948442 | 
Res: 0.012956 beta: 0.500000 | gamma1: 0.231819 | gamma2: 0.024230 | mortality: 0.009015 | darkFigure: 8.027215 | startDate: 737836.000000 | majorEvents: 0.758938 | schoolClosing: 0.793547 | contactRestrictions: 0.767470 | 
Res: 0.045874 beta: 0.500000 | gamma1: 0.191545 | gamma2: 0.051125 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737842.514978 | majorEvents: 0.962639 | schoolClosing: 0.527635 | contactRestrictions: 0.794996 | 
Res: 0.036287 beta: 0.500000 | gamma1: 0.220758 | gamma2: 0.019186 | mortality: 0.009658 | darkFigure: 8.656673 | startDate: 737836.015617 | majorEvents: 0.670040 | schoolClosing: 0.813564 | contactRestrictions: 0.834265 | 
Res: 0.020305 beta: 0.497270 | gamma1: 0.202468 | gamma2: 0.017763 | mortality: 0.009576 | darkFigure: 9.236365 | startDate: 737838.264905 | majorEvents: 0.804720 | schoolClosing: 0.564962 | contactRestrictions: 0.896705 | 
