Infektionsf„lle nach Meldung (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt		
31.03.2020	1227	0	1227	1825	0	1825	214	0	214	129	0	129	17	0	17	160	0	160	254	0	254	50	0	50	361	0	361	1058	0	1058	200	0	200	130	0	130	180	0	180	55	0	55	104	0	104	79	0	79		
01.04.2020	1241	0	1241	2000	0	2000	187	0	187	73	1	74	16	0	16	137	0	137	330	0	330	23	0	23	367	0	367	1163	0	1163	252	0	252	123	0	123	185	0	185	36	0	36	103	0	103	58	0	58		
02.04.2020	1412	0	1412	1932	0	1932	236	0	236	125	0	125	11	0	11	168	0	168	267	0	267	29	0	29	334	0	334	1210	0	1210	189	0	189	178	0	178	223	0	223	46	0	46	112	0	112	85	0	85		
03.04.2020	1264	0	1264	1872	0	1872	239	0	239	137	0	137	33	0	33	158	0	158	249	0	249	31	0	31	390	0	390	1057	0	1057	214	0	214	71	0	71	249	0	249	44	0	44	112	0	112	69	0	69		
04.04.2020	849	0	849	1488	0	1488	107	0	107	41	0	41	15	0	15	112	0	112	225	0	225	15	0	15	225	0	225	685	0	685	140	0	140	142	0	142	139	0	139	34	0	34	69	0	69	50	0	50		
05.04.2020	496	0	496	714	0	714	77	0	77	26	0	26	3	0	3	107	0	107	91	0	91	2	0	2	145	0	145	508	0	508	106	0	106	89	0	89	69	0	69	42	0	42	36	0	36	40	0	40		
06.04.2020	561	0	561	1128	0	1128	144	0	144	74	0	74	5	0	5	99	0	99	139	0	139	5	0	5	229	0	229	877	0	877	140	0	140	80	0	80	80	0	80	26	0	26	61	0	61	27	0	27		
07.04.2020	904	0	904	1529	0	1529	202	0	202	107	0	107	36	0	36	214	0	214	255	0	255	35	0	35	375	0	375	915	0	915	180	0	180	78	0	78	143	0	143	45	0	45	112	0	112	74	0	74		
08.04.2020	934	0	934	1546	0	1546	177	0	177	120	0	120	6	0	6	116	0	116	303	0	303	8	0	8	332	0	332	1045	0	1045	173	0	173	152	0	152	160	0	160	48	0	48	90	0	90	65	0	65		
09.04.2020	997	0	997	1267	0	1267	173	0	173	112	2	114	18	0	18	113	0	113	293	0	293	15	0	15	311	0	311	1010	0	1010	156	0	156	135	0	135	101	0	101	39	0	39	93	0	93	70	0	70		
10.04.2020	663	0	663	941	0	941	82	0	82	74	0	74	9	0	9	98	0	98	156	0	156	11	0	11	262	0	262	617	0	617	131	0	131	91	0	91	130	0	130	25	0	25	34	0	34	27	0	27		
11.04.2020	746	0	746	765	0	765	86	0	86	49	0	49	13	0	13	78	0	78	151	0	151	13	0	13	128	0	128	586	0	586	77	0	77	21	0	21	79	0	79	29	0	29	41	0	41	27	0	27		
12.04.2020	429	0	429	415	0	415	54	0	54	44	0	44	4	0	4	45	0	45	99	0	99	3	0	3	150	0	150	384	0	384	65	0	65	23	0	23	88	0	88	13	0	13	16	0	16	32	0	32		
