Infektionsf„lle nach Erkrankungsbeginn (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt		
16.04.2020	224	189	413	265	311	576	43	17	60	25	8	33	10	38	48	19	42	61	68	46	114	2	0	2	80	58	138	230	215	445	39	44	83	11	19	30	37	35	72	16	7	23	22	17	39	33	17	50		
17.04.2020	215	221	436	213	325	538	39	27	66	23	47	70	11	5	16	22	69	91	89	62	151	7	0	7	89	74	163	230	185	415	28	51	79	6	17	23	35	16	51	9	46	55	14	8	22	28	10	38		
18.04.2020	195	122	317	205	204	409	37	20	57	32	35	67	8	9	17	11	22	33	66	41	107	0	1	1	76	39	115	176	151	327	23	38	61	2	18	20	19	15	34	15	13	28	20	4	24	29	5	34		
19.04.2020	156	112	268	141	158	299	33	6	39	17	7	24	8	4	12	13	4	17	71	38	109	2	0	2	63	38	101	166	131	297	18	10	28	6	1	7	22	8	30	6	7	13	17	2	19	28	1	29		
20.04.2020	175	107	282	196	180	376	43	6	49	50	22	72	14	2	16	17	22	39	78	27	105	2	0	2	61	33	94	205	173	378	30	19	49	16	8	24	28	14	42	15	7	22	23	8	31	46	11	57		
21.04.2020	161	141	302	151	223	374	38	10	48	19	14	33	3	8	11	17	28	45	63	45	108	5	0	5	57	49	106	175	115	290	19	24	43	7	24	31	13	11	24	19	12	31	16	16	32	29	29	58		
22.04.2020	146	204	350	154	256	410	36	24	60	15	13	28	7	96	103	11	28	39	62	53	115	5	0	5	56	66	122	172	114	286	22	38	60	7	20	27	30	15	45	10	4	14	15	13	28	30	12	42		
23.04.2020	140	168	308	192	266	458	35	18	53	25	19	44	3	9	12	17	24	41	56	58	114	1	0	1	53	58	111	152	140	292	13	21	34	12	6	18	15	15	30	12	4	16	11	12	23	30	16	46		
24.04.2020	103	150	253	126	243	369	40	15	55	17	40	57	12	10	22	12	22	34	58	30	88	4	2	6	55	47	102	166	122	288	17	37	54	5	14	19	21	14	35	7	3	10	13	17	30	30	13	43		
25.04.2020	104	159	263	123	165	288	25	17	42	19	10	29	7	5	12	14	19	33	45	22	67	4	1	5	42	24	66	144	82	226	20	6	26	2	7	9	18	6	24	5	4	9	8	2	10	20	7	27		
26.04.2020	71	51	122	86	87	173	29	7	36	13	3	16	4	8	12	8	8	16	35	5	40	8	0	8	54	14	68	111	51	162	21	12	33	1	14	15	17	8	25	2	2	4	10	2	12	22	4	26		
27.04.2020	117	87	204	111	189	300	44	17	61	25	17	42	5	5	10	13	11	24	46	25	71	5	0	5	55	22	77	174	86	260	21	19	40	2	3	5	20	4	24	11	3	14	9	2	11	30	8	38		
28.04.2020	73	55	128	98	181	279	33	28	61	21	22	43	3	30	33	2	16	18	49	44	93	0	1	1	40	31	71	130	85	215	25	11	36	3	16	19	20	9	29	7	2	9	11	4	15	22	28	50		
29.04.2020	74	119	193	78	163	241	36	19	55	15	14	29	10	30	40	11	25	36	34	40	74	5	1	6	37	26	63	115	74	189	6	36	42	6	13	19	14	13	27	5	11	16	14	4	18	21	10	31		
30.04.2020	82	123	205	115	129	244	30	22	52	5	11	16	12	16	28	6	12	18	40	37	77	4	1	5	59	23	82	132	125	257	8	14	22	3	19	22	27	8	35	4	3	7	17	5	22	26	17	43		
01.05.2020	62	60	122	86	107	193	19	6	25	8	13	21	20	7	27	8	3	11	29	30	59	2	0	2	45	15	60	105	119	224	10	21	31	0	10	10	17	4	21	1	3	4	12	5	17	19	3	22		
02.05.2020	43	37	80	56	80	136	25	7	32	6	2	8	15	3	18	4	3	7	37	19	56	3	0	3	38	15	53	107	76	183	16	6	22	2	4	6	16	10	26	4	1	5	13	7	20	11	5	16		
03.05.2020	72	15	87	76	38	114	25	6	31	4	2	6	14	14	28	4	2	6	36	7	43	3	0	3	38	3	41	70	49	119	9	0	9	0	1	1	19	3	22	2	3	5	18	31	49	23	0	23		
04.05.2020	78	39	117	82	81	163	20	14	34	7	4	11	24	6	30	4	5	9	38	11	49	3	0	3	46	32	78	132	66	198	17	14	31	1	4	5	25	1	26	9	4	13	9	5	14	25	15	40		
05.05.2020	55	40	95	86	88	174	25	25	50	5	30	35	18	4	22	7	12	19	36	43	79	2	2	4	27	14	41	120	107	227	18	16	34	3	3	6	10	16	26	10	8	18	10	35	45	18	14	32		
06.05.2020	64	54	118	70	149	219	23	15	38	1	10	11	9	10	19	9	9	18	42	46	88	2	1	3	26	25	51	99	136	235	6	13	19	1	5	6	17	18	35	6	7	13	8	6	14	20	13	33		
07.05.2020	57	72	129	76	106	182	16	16	32	2	6	8	22	12	34	4	8	12	28	30	58	2	0	2	37	23	60	91	128	219	6	17	23	3	9	12	9	13	22	3	1	4	7	8	15	23	13	36		
08.05.2020	69	97	166	65	101	166	16	1	17	4	16	20	11	10	21	6	9	15	26	44	70	4	0	4	19	24	43	83	104	187	11	16	27	1	3	4	17	23	40	2	2	4	6	8	14	19	5	24		
09.05.2020	34	60	94	64	76	140	10	4	14	2	5	7	10	6	16	2	3	5	23	13	36	1	0	1	30	8	38	80	89	169	19	10	29	1	1	2	11	9	20	3	1	4	4	10	14	15	3	18		
10.05.2020	47	21	68	57	39	96	11	2	13	0	0	0	14	3	17	1	1	2	30	4	34	1	0	1	25	4	29	63	50	113	8	11	19	0	0	0	12	3	15	2	0	2	2	12	14	13	3	16		
11.05.2020	44	43	87	64	97	161	16	3	19	3	4	7	15	1	16	5	4	9	41	12	53	0	0	0	27	7	34	72	117	189	17	11	28	0	1	1	16	6	22	5	1	6	5	1	6	17	10	27		
12.05.2020	42	40	82	55	101	156	14	10	24	3	5	8	15	4	19	2	1	3	44	32	76	0	2	2	23	13	36	74	88	162	7	7	14	1	5	6	13	7	20	2	2	4	3	7	10	11	4	15		
13.05.2020	43	60	103	46	94	140	11	26	37	3	5	8	10	6	16	5	10	15	56	28	84	0	3	3	20	30	50	62	109	171	3	21	24	2	6	8	8	20	28	1	3	4	3	8	11	13	5	18		
14.05.2020	26	50	76	57	109	166	10	14	24	3	12	15	7	7	14	1	2	3	31	15	46	2	4	6	28	20	48	36	111	147	4	13	17	1	8	9	13	16	29	1	6	7	1	3	4	13	12	25		
15.05.2020	26	46	72	47	92	139	15	6	21	3	1	4	5	6	11	0	7	7	35	18	53	3	0	3	92	15	107	88	122	210	6	23	29	0	4	4	9	11	20	1	1	2	2	5	7	9	6	15		
16.05.2020	30	25	55	40	55	95	18	4	22	3	10	13	8	3	11	1	1	2	37	16	53	2	0	2	25	5	30	79	76	155	8	8	16	0	1	1	8	8	16	4	0	4	1	0	1	12	10	22		
17.05.2020	14	13	27	32	29	61	18	2	20	3	1	4	4	5	9	0	1	1	23	61	84	0	0	0	29	2	31	42	66	108	2	14	16	0	0	0	10	2	12	1	0	1	3	1	4	11	3	14		
18.05.2020	40	20	60	63	52	115	25	21	46	3	2	5	6	6	12	2	0	2	40	24	64	1	0	1	49	10	59	62	136	198	0	11	11	0	3	3	10	8	18	3	0	3	0	0	0	16	4	20		
19.05.2020	26	45	71	43	72	115	12	17	29	3	3	6	4	7	11	0	2	2	19	20	39	0	0	0	34	18	52	38	96	134	0	12	12	1	4	5	5	20	25	0	3	3	0	7	7	11	7	18		
20.05.2020	30	49	79	51	114	165	15	14	29	5	6	11	12	5	17	0	12	12	20	36	56	0	5	5	84	41	125	55	78	133	3	20	23	0	2	2	2	22	24	2	1	3	4	7	11	13	5	18		
21.05.2020	22	19	41	37	46	83	12	3	15	3	2	5	3	8	11	0	1	1	11	9	20	0	0	0	27	24	51	37	78	115	4	6	10	2	1	3	2	6	8	0	2	2	0	21	21	8	10	18		
22.05.2020	17	35	52	35	68	103	13	20	33	5	1	6	10	3	13	1	3	4	11	24	35	0	0	0	30	10	40	46	51	97	5	8	13	1	3	4	4	4	8	1	1	2	1	14	15	16	6	22		
23.05.2020	22	25	47	32	48	80	12	4	16	3	2	5	9	0	9	0	1	1	13	21	34	0	0	0	41	11	52	34	43	77	0	5	5	0	1	1	7	4	11	0	0	0	0	0	0	8	7	15		
24.05.2020	13	7	20	21	62	83	13	0	13	3	0	3	12	2	14	1	0	1	18	7	25	0	0	0	36	4	40	38	33	71	2	0	2	0	1	1	3	0	3	2	0	2	1	0	1	6	6	12		
25.05.2020	17	18	35	22	36	58	21	4	25	4	2	6	15	1	16	1	1	2	17	16	33	0	0	0	56	7	63	49	98	147	8	9	17	0	5	5	7	2	9	0	2	2	2	0	2	11	6	17		
