Infektionsf„lle nach Erkrankungsbeginn (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 27.4.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt		
09.04.2020	244	450	694	334	670	1004	66	40	106	47	17	64	5	3	8	21	65	86	90	96	186	7	2	9	127	121	248	390	286	676	55	55	110	20	72	92	38	41	79	17	4	21	25	21	46	33	11	44		
10.04.2020	242	291	533	277	453	730	60	21	81	22	15	37	3	2	5	24	50	74	69	52	121	5	0	5	89	85	174	286	145	431	49	43	92	17	62	79	27	61	88	9	13	22	25	4	29	35	6	41		
11.04.2020	194	475	669	258	391	649	38	38	76	27	12	39	9	0	9	19	42	61	67	70	137	2	9	11	81	43	124	243	175	418	47	27	74	18	8	26	23	39	62	13	5	18	16	3	19	19	9	28		
12.04.2020	186	190	376	211	183	394	44	17	61	20	12	32	5	3	8	28	26	54	67	48	115	8	0	8	84	67	151	278	121	399	45	29	74	7	10	17	25	53	78	7	6	13	9	3	12	34	2	36		
13.04.2020	187	164	351	203	228	431	38	20	58	27	3	30	5	2	7	18	15	33	66	27	93	2	0	2	82	18	100	253	82	335	33	30	63	12	17	29	23	25	48	4	7	11	13	68	81	32	2	34		
14.04.2020	160	150	310	215	394	609	55	15	70	32	13	45	8	1	9	12	31	43	71	45	116	2	1	3	87	60	147	233	154	387	41	55	96	12	9	21	30	40	70	20	10	30	12	8	20	35	7	42		
15.04.2020	154	307	461	198	465	663	38	20	58	29	13	42	6	1	7	14	38	52	57	99	156	4	0	4	73	57	130	238	186	424	47	48	95	15	19	34	25	26	51	11	2	13	16	17	33	21	11	32		
16.04.2020	137	288	425	166	425	591	37	23	60	20	9	29	9	38	47	10	43	53	51	63	114	2	0	2	70	64	134	178	247	425	35	43	78	9	21	30	25	52	77	14	8	22	13	24	37	32	18	50		
17.04.2020	124	300	424	122	461	583	26	39	65	13	54	67	8	3	11	8	68	76	62	71	133	4	2	6	72	79	151	169	207	376	25	56	81	6	18	24	24	19	43	10	47	57	6	14	20	25	10	35		
18.04.2020	118	187	305	129	233	362	25	24	49	19	27	46	3	12	15	6	23	29	42	50	92	0	1	1	56	47	103	124	176	300	15	39	54	2	19	21	15	22	37	13	13	26	11	12	23	26	7	33		
