Name	Status	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases
		count	count	count	count	count	count	count	count	incomplete
		28.02.2020	06.03.2020	13.03.2020	20.03.2020	27.03.2020	03.04.2020	10.04.2020	17.04.2020	22.04.2020
Braunschweig	County-level City	0	1	2	17	93	207	266	285	290
Celle	County	0	3	6	24	60	97	119	142	144
Cloppenburg	County	0	0	2	7	31	45	65	88	88
Cuxhaven	County	0	4	5	25	46	59	74	78	82
Delmenhorst	County-level City	1	1	5	9	16	24	28	32	36
Diepholz	County	0	0	16	39	109	180	247	274	294
Emden	County-level City	0	0	3	7	7	8	14	15	15
Emsland	County	0	0	4	51	111	178	263	359	369
Friesland	County	0	0	2	3	9	17	23	28	30
Gifhorn	County	0	0	5	27	48	86	105	119	122
Goslar	County	0	0	0	16	45	70	112	135	168
G?ttingen	County	0	0	4	43	106	225	347	539	611
Grafschaft Bentheim	County	0	1	3	16	55	108	157	197	206
Hameln-Pyrmont	County	0	0	2	18	36	78	93	102	110
Harburg	County	0	0	13	72	139	229	346	403	435
Heidekreis (Soltau-Fallingbostel)	County	0	0	0	4	16	33	52	60	63
Helmstedt	County	0	0	0	8	39	73	89	96	122
Hildesheim	County	0	0	7	68	121	169	203	237	263
Holzminden	County	0	0	2	22	41	74	92	99	103
Leer	County	0	1	1	12	25	48	66	79	88
LÅchow-Dannenberg	County	0	0	0	1	7	11	14	15	15
LÅneburg	County	0	0	1	42	72	111	137	154	161
Nienburg (Weser)	County	0	0	2	12	25	39	59	61	63
Northeim	County	0	0	4	10	25	40	57	85	98
Oldenburg	County	0	0	4	14	54	149	174	187	193
Oldenburg Stadt	County-level City	0	1	7	22	59	106	139	151	151
OsnabrÅck	County	0	1	7	88	234	390	671	811	882
OsnabrÅck Stadt	County-level City	0	0	8	93	176	254	360	400	421
Osterholz	County	0	0	10	24	36	57	64	73	73
Peine	County	0	0	0	13	40	99	123	129	131
Region Hannover	County	0	3	45	244	634	1,014	1,392	1,583	1,685
Rotenburg (WÅmme)	County	0	2	5	20	43	59	72	88	91
Salzgitter	County-level City	0	0	1	9	41	63	93	108	116
Schaumburg	County	0	0	2	22	47	64	110	133	137
Stade	County	0	1	15	43	99	136	164	175	178
Uelzen	County	0	0	1	5	14	26	33	39	39
Vechta	County	0	0	2	27	95	198	263	286	300
Verden	County	0	0	6	21	42	81	106	112	113
Wesermarsch	County	0	0	0	5	31	44	48	51	51
Wilhelmshaven	County-level City	0	0	3	5	6	9	14	17	17
Wittmund	County	0	0	1	4	8	16	20	22	24
WolfenbÅttel	County	0	0	0	3	27	53	92	128	155
Wolfsburg	County-level City	0	0	0	10	53	216	241	257	272
Nordrhein-Westfalen [North Rhine-Westphalia]	State	23	323	1,229	5,565	11,303	17,992	24,097	27,899	30,185
Bielefeld	County-level City	0	0	11	25	139	192	266	341	341
Bochum	County-level City	0	2	15	52	169	233	266	385	409
Bonn	County-level City	0	1	22	91	229	353	474	550	578
Borken	County	0	5	16	226	375	584	754	827	845
Bottrop	County-level City	0	0	3	10	29	50	83	104	120
